k,accuracy,precision,recall,f1_score
2,0.5247524752475248,0.5172413793103449,0.8823529411764706,0.6521739130434783
3,0.49504950495049505,0.5,0.7647058823529411,0.6046511627906976
4,0.42574257425742573,0.4567901234567901,0.7254901960784313,0.5606060606060607
5,0.43564356435643564,0.46153846153846156,0.7058823529411765,0.558139534883721
6,0.4158415841584158,0.4523809523809524,0.7450980392156863,0.562962962962963
7,0.43564356435643564,0.46153846153846156,0.7058823529411765,0.558139534883721
8,0.45544554455445546,0.4777777777777778,0.8431372549019608,0.6099290780141844
9,0.39603960396039606,0.4418604651162791,0.7450980392156863,0.5547445255474454
10,0.44554455445544555,0.47126436781609193,0.803921568627451,0.5942028985507246
11,0.44554455445544555,0.4725274725274725,0.8431372549019608,0.6056338028169014
12,0.45544554455445546,0.4777777777777778,0.8431372549019608,0.6099290780141844
13,0.44554455445544555,0.4725274725274725,0.8431372549019608,0.6056338028169014
14,0.46534653465346537,0.4838709677419355,0.8823529411764706,0.625
15,0.45544554455445546,0.4782608695652174,0.8627450980392157,0.6153846153846154
16,0.45544554455445546,0.4782608695652174,0.8627450980392157,0.6153846153846154
17,0.46534653465346537,0.4842105263157895,0.9019607843137255,0.6301369863013698
18,0.48514851485148514,0.4945054945054945,0.8823529411764706,0.6338028169014085
19,0.46534653465346537,0.4827586206896552,0.8235294117647058,0.608695652173913
