k,accuracy,precision,recall,f1_score
2,0.49504950495049505,0.5,0.3137254901960784,0.3855421686746988
3,0.5544554455445545,0.5365853658536586,0.8627450980392157,0.6616541353383459
4,0.4752475247524752,0.4722222222222222,0.3333333333333333,0.39080459770114934
5,0.5346534653465347,0.5232558139534884,0.8823529411764706,0.656934306569343
6,0.5841584158415841,0.5555555555555556,0.8823529411764706,0.6818181818181819
7,0.5346534653465347,0.5208333333333334,0.9803921568627451,0.6802721088435374
8,0.5346534653465347,0.5208333333333334,0.9803921568627451,0.6802721088435374
9,0.5247524752475248,0.5151515151515151,1.0,0.6799999999999999
10,0.5247524752475248,0.5151515151515151,1.0,0.6799999999999999
11,0.5148514851485149,0.51,1.0,0.6754966887417219
12,0.5148514851485149,0.51,1.0,0.6754966887417219
13,0.5148514851485149,0.51,1.0,0.6754966887417219
14,0.5148514851485149,0.51,1.0,0.6754966887417219
15,0.504950495049505,0.504950495049505,1.0,0.6710526315789473
16,0.504950495049505,0.504950495049505,1.0,0.6710526315789473
17,0.504950495049505,0.504950495049505,1.0,0.6710526315789473
18,0.504950495049505,0.504950495049505,1.0,0.6710526315789473
19,0.504950495049505,0.504950495049505,1.0,0.6710526315789473
